C1,C2,C3,C4,C5,C6,C7,C8,article_id,human_label,human_confidence,corpus_batch,SMI_score,SMI_label
0.0,0.0,0.0,0.1,0.0,0.3333,0.0,0.6121,v18_1501,1,M,corpus_expansion_5000,0.20334752141661244,0
0.0,0.0,0.9643,0.85,0.0,0.0,0.0,0.0,v18_2586,1,M,corpus_expansion_5000,0.46183656018518604,1
0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.7364,v18_2653,1,M,corpus_expansion_5000,0.23111527620721362,0
0.0,0.0,0.0,0.1,0.0,0.3333,0.0,0.9435,v18_1055,1,M,corpus_expansion_5000,0.19932341078274549,0
0.0,0.0,0.0,0.2,0.0,0.5833,0.0,0.7671,v18_0705,0,H,v17_reused,0.349458394756692,0
0.0,0.0,0.6708,0.1,0.0,0.0,0.0,0.9861,v18_0106,0,H,new_mid_w0_p0,0.13437677201892637,0
0.0,0.0,0.0,0.9,0.0,0.3333,0.0,0.8576,v18_0589,0,H,v17_reused,0.5584658435610207,1
0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,v18_2468,1,M,corpus_expansion_5000,0.19000580961738978,0
0.3,0.0,0.7584,0.7,0.0,0.0,0.0,0.0,v18_2413,1,L,corpus_expansion_5000,0.8090716126538653,1
0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,v18_1600,1,M,corpus_expansion_5000,0.16079228470839807,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5579,v18_2464,1,M,corpus_expansion_5000,0.09099110451834116,0
0.5,0.0,0.0,0.85,0.0,0.0,0.0,0.9643,v18_0228,1,H,new_high_w1_pany,0.9366046028778382,1
0.0,0.0,0.5248,0.0,0.0,0.0,0.0,0.0,v18_0915,1,M,corpus_expansion_5000,0.11413304045868496,0
0.0,0.0,0.0,0.45,0.0,0.5833,0.0,0.4866,v18_0794,1,H,new_mid_w1_p1,0.4764406798654476,1
0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,v18_3021,0,H,corpus_expansion_5000,0.19000580961738978,0
0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3706,v18_3543,0,H,corpus_expansion_5000,0.15705158331615046,0
0.0,0.0,0.0,0.0,0.8755,0.0,0.0,0.0,v18_1073,1,M,corpus_expansion_5000,0.21245743999478328,0
0.0,0.0,0.0,0.1,0.3947,0.0,0.0,0.179,v18_3351,0,H,corpus_expansion_5000,0.16210584725600014,0
